,Location,Coordinates,Latitude,Longitude
128,"Ilford, United Kingdom","Ilford, London, Greater London, England, IG1 1DL, United Kingdom",51.5582734,0.0711669
129,"Coventry, United Kingdom","Coventry, West Midlands Combined Authority, West Midlands, England, United Kingdom",52.4081812,-1.510477
130,"Ickenham, United Kingdom","Ickenham, Glebe Avenue, Hillingdon, London Borough of Hillingdon, London, Greater London, England, UB10 8PA, United Kingdom",51.5615698,-0.4423513
131,"Isle of Grain, United Kingdom","Isle of Grain, Medway, South East, England, ME3 0AJ, United Kingdom",51.45426550000001,0.6948865
132,"Grimsby, United Kingdom","Grimsby, North East Lincolnshire, Yorkshire and the Humber, England, DN32 9UT, United Kingdom",53.5677371,-0.0736289
133,"Henlow, United Kingdom","Henlow, Central Bedfordshire, East of England, England, SG16 6GA, United Kingdom",52.0323139,-0.28924629999999996
134,"Swanscombe, United Kingdom","Swanscombe, Kent, South East, England, DA10 0JB, United Kingdom",51.4436966,0.30657429999999997
135,"Fareham, United Kingdom","Fareham, Hampshire, South East, England, United Kingdom",50.85266370000001,-1.1783133999999995
136,"Manchester, United Kingdom","Manchester, Greater Manchester, North West England, England, United Kingdom",53.479489199999996,-2.2451147999999996
137,"Herne Bay, United Kingdom","Herne Bay, Kent, South East, England, United Kingdom",51.371950700000006,1.1306951
138,"East Sussex, United Kingdom","East Sussex, South East, England, United Kingdom",50.9404266,0.3699977891068864
139,"Tilehurst, United Kingdom","Tilehurst, Reading, South East, England, RG31 5AW, United Kingdom",51.457983899999995,-1.0409218
140,"Southport, United Kingdom","Southport, Sefton, North West England, England, PR8 1AH, United Kingdom",53.647598800000004,-3.0041751
141,"Cardiff, United Kingdom","Cardiff, Cymru / Wales, CF, United Kingdom",51.48165460000001,-3.1791934
142,"Ellesmere Port, United Kingdom","Ellesmere Port, Station Road, Rossmore Estate, Ellesmere Port, Cheshire West and Chester, North West England, England, CH65 4BW, United Kingdom",53.28211139999999,-2.8960456000000003
143,"Hereford, United Kingdom","Hereford, Herefordshire, West Midlands, England, HR1 2NB, United Kingdom",52.05538129999999,-2.7151735
